doc_id,sentence_id,token_id,token,lemma,pos
text95,1,1,Most,Most,ADJ
text95,1,2,information,information,NOUN
text96,1,1,Useful,useful,ADJ
text97,1,2,Wonderful,wonderful,ADJ
text97,1,8,upgrade,upgrade,VERB
text97,1,13,veggies,veggie,NOUN
text97,2,2,fruits,fruit,NOUN
text97,2,3,include,include,VERB
text97,2,4,flower,flower,NOUN
text97,2,5,types,type,NOUN
text98,1,2,favorite,favorite,ADJ
text98,1,3,online,online,ADJ
text98,1,4,agro,agro,NOUN
text98,1,5,store,store,NOUN
text98,2,5,lockdownand,lockdownand,NOUN
text98,2,6,fastest,fast,ADJ
text98,2,7,delivery,delivery,NOUN
text98,2,11,days,day,NOUN
text98,2,14,peak,peak,NOUN
text98,2,17,lockdown,lockdown,NOUN
text98,3,1,Good,good,ADJ
text98,3,2,quality,quality,NOUN
text98,3,3,seeds,seed,NOUN
text98,3,5,pesticides,pesticide,NOUN
text98,3,7,fertilizer,fertilizer,NOUN
text98,4,1,Good,good,ADJ
text99,1,2,system,system,NOUN
text99,1,5,bad,bad,ADJ
text99,2,6,parcel,parcel,NOUN
text99,3,2,aap,aap,NOUN
text99,3,4,option,option,NOUN
text99,3,6,return,return,NOUN
text99,3,8,refund,refund,VERB
text99,4,3,amazon,amazon,NOUN
text99,5,2,send,send,VERB
text99,5,4,3rd,3rd,ADJ
text99,5,5,class,class,NOUN
text99,5,6,item,item,NOUN
text99,6,3,option,option,NOUN
text99,7,3,aap,aap,NOUN
text100,1,1,Best,good,ADJ
text101,1,1,Best,good,ADJ
text102,2,3,aware,aware,ADJ
text102,2,5,technics,technic,NOUN
text102,3,5,lot,lot,NOUN
text103,1,2,helpful,helpful,ADJ
text104,2,1,Found,find,VERB
text104,3,1,Great,great,ADJ
text104,3,2,initiative,initiative,NOUN
text104,4,4,guys,guy,NOUN
text104,5,1,Keep,keep,VERB
text104,5,2,Growing,grow,VERB
text105,1,3,excellent,excellent,ADJ
text105,1,4,information,information,NOUN
text105,2,6,auction,auction,NOUN
text105,2,7,house,house,NOUN
text105,2,15,detailed,detailed,ADJ
text105,2,16,information,information,NOUN
text105,2,18,average,average,ADJ
text105,2,19,weights,weight,NOUN
text105,2,21,prices,price,NOUN
text105,2,23,heifers,heifer,NOUN
text105,2,25,steers,steer,NOUN
text105,2,27,bulls,bull,NOUN
text105,2,31,care,care,VERB
text105,3,2,reason,reason,NOUN
text105,3,6,lost,lose,VERB
text105,3,13,paid,pay,VERB
text105,3,15,ad,ad,NOUN
text105,3,17,free,free,ADJ
text105,3,18,version,version,NOUN
text105,4,1,Other,other,ADJ
text105,4,7,helpful,helpful,ADJ
text105,4,9,min,min,ADJ
text105,4,10,maxing,maxing,NOUN
text105,4,11,profits,profit,NOUN
text105,4,18,modern,modern,ADJ
text105,4,19,stockman,stockman,NOUN
text106,1,1,Used,use,VERB
text106,1,7,time,time,NOUN
text106,1,23,annoying,annoying,ADJ
text106,1,24,ads,ad,NOUN
text106,2,3,lots,lot,NOUN
text106,2,5,alternate,alternate,ADJ
text106,2,6,sources,source,NOUN
text106,2,9,info,info,NOUN
text107,1,3,hard,hard,ADJ
text107,1,21,download,download,VERB
text107,1,30,buying,buy,VERB
text107,1,34,head,head,NOUN
text107,1,37,cattle,cattle,NOUN
text107,2,3,bet,bet,VERB
text107,2,13,lost,lose,VERB
text107,2,17,sell,sell,NOUN
text107,2,30,set,set,VERB
text108,1,1,Love,love,VERB
text108,1,4,helps,help,VERB
text108,1,8,buy,buy,VERB
text108,1,10,sell,sell,VERB
text108,1,11,cattle,cattle,NOUN
text108,2,6,futures,future,NOUN
text108,2,8,commodity,commodity,NOUN
text108,2,9,markets,market,NOUN
text108,2,11,hog,hog,NOUN
text108,2,12,carcass,carcass,NOUN
text109,1,1,Need,need,VERB
text109,1,3,paid,pay,VERB
text109,1,5,add,add,VERB
text109,1,6,free,free,ADJ
text109,1,7,version,version,NOUN
text109,2,1,adds,add,NOUN
text109,2,5,annoying,annoying,ADJ
text109,3,3,pay,pay,VERB
text110,1,1,Used,use,VERB
text110,1,10,calculate,calculate,VERB
text110,1,11,estimated,estimate,VERB
text110,1,12,pricing,pricing,NOUN
text112,1,1,lot,lot,NOUN
text112,1,3,information,information,NOUN
text112,1,11,market,market,NOUN
text113,1,1,Has,have,VERB
text113,1,6,commodity,commodity,NOUN
text113,1,7,pricing,pricing,NOUN
text114,1,1,Technology,technology,NOUN
text114,1,3,solve,solve,VERB
text114,1,5,difficulties,difficulty,NOUN
text114,2,7,informative,informative,ADJ
text115,1,1,Last,last,ADJ
text115,1,2,update,update,NOUN
text116,1,4,excellent,excellent,ADJ
text116,1,8,'re,be,VERB
text116,1,11,cattle,cattle,NOUN
text116,1,12,business,business,NOUN
text117,1,3,stay,stay,VERB
text117,1,8,phone,phone,NOUN
text118,1,14,phone,phone,NOUN
text119,1,10,report,report,NOUN
