doc_id,sentence_id,token_id,token,lemma,pos
text121,1,4,service,service,NOUN
text121,1,7,accurate,accurate,ADJ
text121,2,2,details,detail,NOUN
text121,2,6,crop,crop,NOUN
text121,2,9,precise,precise,ADJ
text121,2,12,readable,readable,ADJ
text121,2,14,understandable,understandable,ADJ
text121,3,5,smooth,smooth,ADJ
text121,3,7,easy,easy,ADJ
text121,3,9,understand,understand,VERB
text122,1,5,informative,informative,ADJ
text122,1,7,usefull,usefull,VERB
text123,1,1,मंडी,मंडी,ADJ
text123,1,2,भाव,भाव,NOUN
text123,2,2,information,information,NOUN
text124,1,11,agriculture,agriculture,NOUN
text124,1,14,indian,indian,ADJ
text125,1,1,Useful,useful,ADJ
text125,1,5,advisors,advisor,NOUN
text125,1,7,heplful,heplful,ADJ
text125,1,10,communication,communication,NOUN
text126,1,1,Nice,nice,ADJ
text126,1,5,mans,man,NOUN
text126,1,9,tha,tha,NOUN
text127,2,5,user,user,NOUN
text127,2,8,prefer,prefer,VERB
text127,2,11,public,public,ADJ
text128,1,6,informative,informative,ADJ
text128,2,3,updated,updated,ADJ
text128,2,4,knowledge,knowledge,NOUN
text128,3,4,helps,help,VERB
text128,3,6,increasing,increase,VERB
text128,3,7,production,production,NOUN
text129,1,1,Smooth,smooth,ADJ
text129,1,2,experience,experience,NOUN
text129,1,3,nicr,nicr,NOUN
text129,1,6,hsappy,hsappy,ADJ
text130,1,1,Excellent,excellent,ADJ
text130,1,5,Indian,indian,ADJ
text130,2,1,Provided,provide,VERB
text130,2,3,information,information,NOUN
text130,2,4,related,relate,VERB
text130,2,8,crops,crop,NOUN
text130,2,10,daily,daily,ADJ
text130,2,11,weather,weather,NOUN
text130,2,12,data,datum,NOUN
text130,2,14,easy,easy,ADJ
text130,2,15,language,language,NOUN
text130,3,4,products,product,NOUN
text130,3,6,low,low,ADJ
text130,3,7,cost,cost,NOUN
text130,3,10,helps,help,VERB
text130,3,14,low,low,ADJ
text130,3,15,budget,budget,NOUN
text131,1,6,reliable,reliable,ADJ
text131,1,9,suggestions,suggestion,NOUN
text131,2,1,Best,good,ADJ
text131,2,3,crop,crop,NOUN
text131,2,4,disease,disease,NOUN
text131,2,5,identification,identification,NOUN
text131,3,3,feature,feature,NOUN
